keyword,intersection
공수어촌체험마을,"['드물다', '낯설다', '순하다', '변함없다', '곱다', '그립다', '끊임없다', '외롭다', '흐드러지다', '뜨겁다', '엄청나다', '이쁘다', '오지다', '알맞다', '힘들다', '앙증맞다', '비싸다', '귀엽다', '배고프다', '드넓다', '파랗다', '아쉽다', '험하다', '손쉽다', '새롭다', '예뿌다', '남다르다', '차갑다', '놀랍다', '귀하다', '싱겁다', '부드러우다', '귀여우다', '편하다', '흐리다', '붉다', '밝다', '괜찮다', '맛있다', '착하다', '반갑다', '맑다', '맛없다', '재밌다', '깊다', '멋지다', '고맙다', '어둡다', '진하다', '과하다', '맛나다', '아름답다', '활기차다', '뜨거우다', '가파르다', '번거롭다', '그지없다', '인상깊다', '까다롭다', '배부르다', '재미있다', '해맑다', '즐겁다', '세차다', '야무지다', '쨍하다', '슬프다', '넓다', '뛰어나다', '재미나다', '정겹다', '시끄럽다', '심심찮다', '아름다우다', '부드럽다', '뜻깊다', '힘겹다', '눈부시다', '두렵다', '환하다', '색다르다', '연하다', '푸르다', '멋있다', '부럽다', '기쁘다', '구리다', '시리다', '기름지다', '알차다', '예쁘다', '힘차다', '재미없다', '친하다', '부끄럽다', '습하다', '정신없다']"
관수옥과 초량왜관 터,"['재미있다', '곱다', '힘들다', '괜찮다', '드물다', '편하다', '넓다', '비싸다', '아쉽다', '새롭다', '맑다', '엄청나다', '심심찮다', '깊다', '드넓다', '어둡다']"
관음사,"['괜찮다', '드물다', '맛있다', '착하다', '넓다', '맑다', '맛없다', '재밌다', '깊다', '부드럽다', '어둡다', '멋지다', '고맙다', '힘겹다', '아쉽다', '맛나다', '푸르다', '아름답다', '멋있다', '새롭다', '부럽다', '곱다', '놀랍다', '가파르다', '엄청나다', '이쁘다', '알차다', '힘들다', '흐리다', '편하다', '붉다', '예쁘다', '비싸다', '즐겁다', '밝다', '야무지다', '귀엽다']"
광복로문화패션거리,"['괜찮다', '맛있다', '착하다', '넓다', '반갑다', '맛없다', '정겹다', '시끄럽다', '재밌다', '깊다', '어둡다', '멋지다', '아쉽다', '푸르다', '아름답다', '변함없다', '멋있다', '예뿌다', '새롭다', '그립다', '엄청나다', '이쁘다', '배부르다', '재미있다', '알차다', '힘들다', '흐리다', '편하다', '붉다', '예쁘다', '비싸다', '즐겁다', '밝다', '정신없다', '귀엽다']"
광안리 SUP Zone,"['맛있다', '슬프다', '넓다', '반갑다', '맛없다', '재밌다', '심심찮다', '드넓다', '멋지다', '고맙다', '아쉽다', '색다르다', '아름답다', '멋있다', '새롭다', '뜨겁다', '엄청나다', '이쁘다', '재미있다', '알차다', '편하다', '예쁘다', '붉다', '비싸다', '즐겁다', '귀엽다']"
광안리어방축제,"['괜찮다', '맛있다', '착하다', '넓다', '재밌다', '깊다', '아름다우다', '부드럽다', '멋지다', '고맙다', '진하다', '눈부시다', '아쉽다', '환하다', '아름답다', '멋있다', '새롭다', '기쁘다', '엄청나다', '이쁘다', '배부르다', '재미있다', '귀여우다', '알차다', '힘들다', '편하다', '예쁘다', '재미없다', '비싸다', '즐겁다', '밝다', '야무지다', '귀엽다']"
광안리패들보드,"['괜찮다', '정신없다', '맛있다', '낯설다', '넓다', '맑다', '재밌다', '깊다', '부드럽다', '멋지다', '힘겹다', '파랗다', '진하다', '아쉽다', '순하다', '맛나다', '색다르다', '푸르다', '아름답다', '멋있다', '예뿌다', '새롭다', '부럽다', '차갑다', '엄청나다', '이쁘다', '알맞다', '배부르다', '재미있다', '알차다', '힘들다', '편하다', '흐리다', '붉다', '예쁘다', '힘차다', '즐겁다', '습하다', '밝다', '야무지다', '귀엽다', '배고프다']"
광안리해변 테마거리,"['괜찮다', '맛있다', '낯설다', '넓다', '반갑다', '맑다', '맛없다', '재밌다', '깊다', '부드럽다', '멋지다', '뜻깊다', '아쉽다', '맛나다', '아름답다', '활기차다', '멋있다', '예뿌다', '새롭다', '부드러우다', '이쁘다', '재미있다', '알차다', '힘들다', '흐리다', '편하다', '붉다', '예쁘다', '비싸다', '즐겁다', '밝다', '야무지다', '귀엽다']"
광안리해수욕장,"['낯설다', '변함없다', '곱다', '그립다', '끊임없다', '외롭다', '뜨겁다', '엄청나다', '이쁘다', '오지다', '알맞다', '힘들다', '드세다', '앙증맞다', '비싸다', '예뻤다', '속상하다', '귀엽다', '배고프다', '따숩다', '드넓다', '파랗다', '아쉽다', '험하다', '손쉽다', '새롭다', '예뿌다', '남다르다', '차갑다', '놀랍다', '귀하다', '싱겁다', '부드러우다', '귀여우다', '촌스럽다', '편하다', '흐리다', '붉다', '밝다', '괜찮다', '맛있다', '착하다', '반갑다', '맑다', '맛없다', '재밌다', '깊다', '멋지다', '고맙다', '어둡다', '진하다', '과하다', '맛나다', '아름답다', '활기차다', '슴슴하다', '뜨거우다', '가파르다', '번거롭다', '그지없다', '인상깊다', '까다롭다', '배부르다', '재미있다', '해맑다', '즐겁다', '세차다', '야무지다', '쨍하다', '슬프다', '넓다', '재미나다', '정겹다', '시끄럽다', '심심찮다', '아름다우다', '부드럽다', '뜻깊다', '힘겹다', '눈부시다', '두렵다', '환하다', '색다르다', '연하다', '푸르다', '멋있다', '부럽다', '기쁘다', '구리다', '시리다', '기름지다', '알차다', '예쁘다', '힘차다', '재미없다', '친하다', '부끄럽다', '습하다', '정신없다']"
구덕 민속예술관,"['재미있다', '편하다', '힘들다', '예쁘다', '맛있다', '넓다', '아쉽다', '맑다', '귀엽다']"
구덕문화공원,"['드물다', '낯설다', '순하다', '변함없다', '곱다', '그립다', '외롭다', '흐드러지다', '뜨겁다', '엄청나다', '이쁘다', '오지다', '알맞다', '힘들다', '드세다', '앙증맞다', '비싸다', '예뻤다', '속상하다', '귀엽다', '배고프다', '따숩다', '드넓다', '파랗다', '아쉽다', '험하다', '손쉽다', '새롭다', '예뿌다', '남다르다', '차갑다', '놀랍다', '귀하다', '싱겁다', '귀여우다', '촌스럽다', '편하다', '흐리다', '붉다', '밝다', '괜찮다', '맛있다', '착하다', '반갑다', '맑다', '맛없다', '재밌다', '깊다', '멋지다', '고맙다', '어둡다', '진하다', '과하다', '맛나다', '아름답다', '활기차다', '슴슴하다', '뜨거우다', '가파르다', '그지없다', '인상깊다', '까다롭다', '배부르다', '재미있다', '해맑다', '즐겁다', '세차다', '야무지다', '쨍하다', '슬프다', '넓다', '뛰어나다', '재미나다', '정겹다', '시끄럽다', '심심찮다', '아름다우다', '부드럽다', '뜻깊다', '힘겹다', '눈부시다', '두렵다', '환하다', '색다르다', '연하다', '푸르다', '멋있다', '부럽다', '기쁘다', '구리다', '시리다', '기름지다', '알차다', '예쁘다', '힘차다', '재미없다', '부끄럽다', '습하다', '정신없다']"
