travel_spot_name,ts_long,ts_lat
쌍둥이 돼지국밥,129.0924004,35.1317717
다리집,129.1107165,35.1468945
이가네 떡볶이,129.0259801,35.1012568
나가하마만게츠,129.1574829,35.1666404
해운대초량밀면 해운대점,129.1597925,35.1620835
버거인뉴욕,129.1646901,35.1609342
쉑쉑버거 서면점,129.0596228,35.1530083
브라운핸즈 백제,129.039158,35.1163493
옵스,129.1500962,35.1577232
모모스 본점,129.0863563,35.2191997
개미집 본점,129.0301356,35.100532
엄용백 돼지국밥,129.1172662,35.1662627
스타벅스,129.1177169,35.1530686
바삭한밀면,129.0996603,35.1349276
코하루,129.0869972,35.2309388
수영 돼지국밥,129.1144528,35.1617501
송정3대국밥,129.0585562,35.1555686
테라로사 수영점,129.11531,35.1767015
개금밀면,129.0250914,35.1525482
칠암사계,129.2593833,35.2998987
마가만두,129.0385434,35.1145175
수민이네,129.1910269,35.1606204
문토스트,129.2043831,35.1809125
딤딤섬,129.1297466,35.1687032
해운대기와집대구탕,129.1745688,35.1581274
영진돼지국밥,128.9578812,35.0966354
칸다소바,129.0621031,35.158157
카가와식당,129.1559085,35.1625109
부산명물횟집,129.0312367,35.0971279
톤쇼우 광안점,129.1248005,35.1564409
원조부산족발,129.0270826,35.0996168
소문난 주문진 막국수,129.0595761,35.195948
해성막창집 센텀점,129.1273075,35.1757062
해운대 가야밀면,129.1663464,35.1688521
비비비당,129.1850753,35.1624833
라라관,129.0856752,35.2382446
우마이도,129.0844358,35.2301424
대정양곱창,129.0263173,35.1001614
다이도코로,129.1125436,35.1466425
백화양곱창,129.0270227,35.0969366
해운대밀면,129.1656788,35.1634503
할매재첩국 부산본점,129.1163867,35.1518667
포항돼지국밥,129.0587923,35.156339
바오하우스,129.063359,35.1548874
최뼈다구해장국,128.986959,35.1628712
딤타오,129.156471,35.1639406
송정집,129.1963552,35.1761715
뚱보집,129.0361361,35.100699
남천녹차팥빙수,129.1086625,35.1406884
자매국밥,129.1256986,35.1582993
버거샵,129.1576671,35.164223
에테르,129.046452,35.0772858
탐복,129.2576428,35.2828408
바릇식당,129.2593457,35.282851
옥천사세탁,129.0660327,35.1569966
스시미르네 본점,129.1767824,35.171294
속씨원한대구탕 해운대본점,129.155381,35.1608358
초량1941,129.0295116,35.1198181
닭발의지존,129.1107312,35.1701834
고래사어묵,129.1594875,35.162483
춘하추동,129.0555363,35.1614729
어느 멋진 날,129.2341296,35.2586752
마이페이보릿쿠키,129.1150044,35.151262
핑거스앤챗,129.1521452,35.1566229
한월식당,129.0282305,35.0965243
수변최고돼지국밥 민락본점,129.134279,35.1567627
café de 220VOLT,129.0561834,35.0939575
해물왕창칼국수,128.983781,35.1726889
미미루,129.0829728,35.2194968
식당3선,129.1262337,35.1781635
알천,129.1047258,35.1385421
모루식당,129.0640066,35.1559886
어밤부,129.1967499,35.1737348
헤이든,129.2565105,35.2829021
공극샌드커피,129.2131151,35.184502
피아크,129.0766322,35.086407
거대갈비,129.1671143,35.1617509
다솥맛집,129.197913,35.1785682
풍원장미역국정찬 마린시티점,129.1463339,35.1541353
마이클어반팜테이블,129.1154605,35.1769907
모모스로스터리&커피바,129.042549,35.0961199
히떼로스터리,129.0682182,35.155756
동래할매파전,129.0838253,35.2046345
동경밥상,129.1138679,35.1483979
마라도,129.1265928,35.1574798
동백섬횟집,129.1546803,35.1604152
언양불고기부산집,129.1135701,35.1478851
젠스시,129.1714865,35.1708063
사까에,129.1646875,35.1601338
블랙업,129.0600014,35.156058
베르크로스터스,129.0662938,35.152619
모모야마,129.05587,35.156766
커피어웨이크,129.0838134,35.2298488
부산바다축제,129.11713,35.151604
수국축제,129.08812,35.05602
금정산성축제,129.08815,35.23809
낙동강구포나루축제,129.00346,35.22585
부산불꽃축제,129.11848,35.152725
삼광사연등축제,129.04338,35.175694
부산원도심골목길축제,129.03537,35.104343
해운대모래축제,129.15985,35.158497
부산항축제,129.04904,35.117317
동래읍성 역사축제,129.09091,35.21127
부산자갈치축제,129.03058,35.096703
차이나타운특구 문화축제,129.03809,35.11431
부산비엔날레,128.96263,35.04648
해운대빛축제,129.15987,35.15849
기장미역다시마축제,129.2447,35.271782
광안리어방축제,129.11893,35.153156
기장멸치축제,129.23056,35.223377
크리스마스트리문화축제,129.03131,35.09927
부산국제록페스티벌,128.97238,35.168747
낙동강유채꽃축제,128.97278,35.1993
대저토마토축제,128.97174,35.20922
삼락벚꽃축제,128.9716,35.169815
사상강변축제,128.97198,35.168854
해운대달맞이온천축제,129.16136,35.1588
해운대북극곰축제,129.1598,35.158566
조선통신사축제,129.03273,35.10072
부산국제영화제,129.12697,35.171078
감천문화마을골목축제,129.00931,35.095776
부산푸드필름페스타,129.12698,35.17107
부산원아시아페스티벌(BOF),129.03737,35.102146
강서낙동강변30리벚꽃축제,128.9798273,35.2072144
하단포구웅어축제,128.957267,35.1009466
금정산성축제,129.05689,35.2458184
수국꽃문화축제,129.0881545,35.2597783
기장갯마을축제,129.2339709,35.2597783
명지시장전어축제,128.9320047,35.1121179
해운대해양레저축제,129.1997133,35.1786125
라라라페스티벌,129.089356,35.229771
정관생태하천학습문화축제,129.1808778,35.3226785
철마한우불고기축제,129.1501475,35.2707643
UN평화축제,129.1008906,35.1269223
차성문화제,129.2414458,35.3013046
서면메디컬스트리트축제,129.0575947,35.1542611
전포커피축제,129.063288,35.1561824
기장붕장어축제,129.2600377,35.2972108
영도다리축제,129.0384408,35.0935461
영도커피페스티벌,129.0759324,35.0755773
연제고분판타지축제,129.095056,35.1925812
다대포어항문화축제,128.9728212,35.0556228
보수동책방골목문화축제,129.0274609,35.1031252
부산고등어축제,129.016761,35.0754546
카운트다운&해맞이축제,129.1603842,35.1586975
