,name,lat,lon,geometry,travel_bus
155,밀락더마켓,35.1546984,129.1260303,POINT (129.1260303 35.1546984),민락매립지공영주차장
156,밀양순대돼지국밥 부산본점,35.1616807,129.1606167,POINT (129.1606167 35.1616807),해운대해수욕장입구
157,바릇식당,35.2972408,129.2584294,POINT (129.2584294 35.2972408),칠암
158,바삭한밀면,35.1349276,129.0996603,POINT (129.0996603 35.1349276),경성대학교입구
159,바오하우스,35.157532,129.071468,POINT (129.071468 35.157532),일산아파트
160,박태준기념관,35.3165417,129.2614979,POINT (129.2614979 35.3165417),임랑삼거리
161,백산기념관,35.1019607,129.0345836,POINT (129.0345836 35.1019607),백산기념관.영화체험박물관
162,백양산 웰빙숲,35.1849064,129.0093018,POINT (129.0093018 35.1849064),운수사입구
163,백화양곱창,35.0969366,129.0270227,POINT (129.0270227 35.0969366),충무동해안시장
164,버거샵,35.164223,129.1576671,POINT (129.1576671 35.164223),아림비치맨션
165,버거인뉴욕,35.1609342,129.1646901,POINT (129.1646901 35.1609342),해운대온천사거리
166,범어사 성보박물관,35.283955,129.0685428,POINT (129.0685428 35.283955),범어사매표소
167,범어사 템플스테이,35.283955,129.0685428,POINT (129.0685428 35.283955),범어사매표소
168,범어사,35.283955,129.0685428,POINT (129.0685428 35.283955),범어사매표소
169,법륜사,35.2039973,129.0880372,POINT (129.0880372 35.2039973),동래시장
170,베르크로스터스,35.152619,129.0662938,POINT (129.0662938 35.152619),경남공고(전포역)
171,베리굿농장체험,35.3080303,129.1149962,POINT (129.1149962 35.3080303),대우아파트후문
172,벡스코(BEXCO),35.1679229,129.1356974,POINT (129.1356974 35.1679229),시립미술관(벡스코)
173,보람공원,35.088318,128.8435819,POINT (128.8435819 35.088318),보람공원
174,보수동책방골목문화축제,35.1064758,129.0263952,POINT (129.0263952 35.1064758),보수어린이집
175,복천박물관,35.2083599,129.0914505,POINT (129.0914505 35.2083599),복천박물관
176,본전돼지국밥,35.116595,129.0414111,POINT (129.0414111 35.116595),부산역.초량시장입구
177,봉래산,35.0819546,129.0552017,POINT (129.0552017 35.0819546),쌍용자동차학원
178,부산 가톨릭 특성화 거리,35.2448396,129.0978032,POINT (129.0978032 35.2448396),부산가톨릭대학교
179,부산 가톨릭센터,35.1042682,129.0285482,POINT (129.0285482 35.1042682),남해슈퍼
180,부산 감천문화마을,35.0978098,129.0092395,POINT (129.0092395 35.0978098),감정초등학교.감천문화마을
181,부산 강서문화원,35.2122,128.9804979,POINT (128.9804979 35.2122),강서구청역
182,동래복천동고분,35.2074338,129.0917907,POINT (129.0917907 35.2074338),복천박물관
183,부산 부평 족발 골목,35.0991985,129.0264478,POINT (129.0264478 35.0991985),충무동교차로
184,부산 송도해상케이블카,35.0762892,129.0234199,POINT (129.0234199 35.0762892),암남동주민센터
185,송도해수욕장,35.0754546,129.016761,POINT (129.016761 35.0754546),송도해수욕장
186,부산 스마트시티 전시관,35.1728897,129.1307199,POINT (129.1307199 35.1728897),시청자미디어센터
187,부산 아시아드주경기장,35.1896429,129.0569842,POINT (129.0569842 35.1896429),국가기록원.역사기록관
188,암남공원,35.0625049,129.0152358,POINT (129.0152358 35.0625049),모지포마을입구
189,에덴공원,35.1099114,128.9627544,POINT (128.9627544 35.1099114),에덴공원
190,부산 영화의 전당,35.1711778,129.1271956,POINT (129.1271956 35.1711778),영화의전당
191,올림픽동산,35.1650508,129.1347629,POINT (129.1347629 35.1650508),시립미술관(벡스코)
192,부산 자갈치 양곱창 골목,35.097234,129.0274542,POINT (129.0274542 35.097234),신동아시장
193,부산중앙공원,35.1164669,129.0277899,POINT (129.0277899 35.1164669),대청마루
194,초량 차이나타운,35.1145144,129.0380695,POINT (129.0380695 35.1145144),부산역
195,부산 치유의 숲,35.2667462,129.1263909,POINT (129.1263909 35.2667462),부산치유의 숲
196,부산 칠드런스 뮤지엄,35.2188193,129.2313695,POINT (129.2313695 35.2188193),연화리
197,부산 트릭아이뮤지엄,35.101702,129.0337655,POINT (129.0337655 35.101702),백산기념관.영화체험박물관
198,부산 해운대도서관,35.1779728,129.1688996,POINT (129.1688996 35.1779728),대림1차.양운고
