name,lat,lon
팬스타부산주말원나잇크루즈,35.1211974,129.0487401
평화공원,35.1255561,129.0974794
하리선착장,35.0709062,129.0813072
학리방파제,35.2598832,129.2477351
한광미술관,35.1089834,129.0374377
한국기독교선교박물관,35.2015168,129.0826989
한국신발관,35.1573104,129.0258261
해광사,35.2057008,129.2255984
해동성취사,35.2812022,129.2544188
해동용궁사,35.1883491,129.2233197
해리단길,35.164921,129.157531
해안누리길 몰운대길,35.0499677,128.9614103
해양스포츠교실,35.0611065,129.077245
해양환경공단 해양환경교육원(부산),35.0807489,129.0791699
해운대 동백섬,35.1559601,129.1539819
해운대 블루라인파크,35.1625451,129.1899803
해운대리버크루즈,35.1896763,129.1209212
해운대모래축제,35.1586283,129.1590673
해운대북극곰축제,35.1588322,129.159799
해운대빛축제,35.1595299,129.1624234
해운대수목원,35.2297427,129.1344469
해운대온천센터,35.1633954,129.1645474
해운대해수욕장,35.1586975,129.1603842
해운대해양레저축제,35.1783633,129.1990386
해월정,35.1576828,129.1821038
해파랑길 1코스,35.1004601,129.1194239
해파랑길 2코스,35.1584212,129.1706635
허브랑야생화,35.2542038,129.0518188
현대모터스튜디오 부산,35.1769907,129.1154605
혜원정사,35.1838837,129.0908696
호천마을,35.1442926,129.0511564
홍연폭포,35.2969827,129.1665818
화명생태공원,35.2266865,129.0035081
화명수목원,35.2510047,129.0427975
화명수상레포츠타운,35.2195671,128.9990818
화명오토캠핑장,35.21663,128.99918
화명자전거교육체험장,35.2321044,129.0055894
화전공원,35.105176,128.8779201
황령산,35.1571056,129.0820778
황령산 전망대,35.1580572,129.0822526
회동수원지,35.2437136,129.1204322
회동수원지 둘레길,35.2251511,129.1167009
흰여울문화마을,35.0772858,129.046452
AREA6,35.0928012,129.0431429
BIFF 광장,35.0988326,129.0292093
F1963,35.1769907,129.1154605
KT&G 상상마당 부산,35.1542841,129.0573158
UN평화축제,35.1269223,129.1008906
