parking_nm,p_latitude,p_longitude
죽도공원,,
좌동청소년문화의집부지 공영,,
문탠로드관광 공영,,
재송2동 공영,,
반송2동 공영,35.22964675,129.1518458
해월정 달맞이길 공영,35.15768031,129.1825416
동백 공영,,
청사포 공영,,
재반로 노상공영 A,,
재반로 노상공영 B,,
재반로 노상공영 C,,
재반로 노상공영 D,,
대천공원공영주차장,,
동백공원공영주차장,,
왕자주차장,,
양지주차장,,
장원주차장,,
송림주차장,,
미포주차장,,
반여주차장,,
예스렌트카주차장,,
진영주차장,,
삼성주차장,,
성진주차장,,
태영주차장,,
일승주차장,,
제일주차장,,
해운대역주차장,,
고려주차장,,
제일주차장,,
신도시주차장,,
보성주차장,,
24시주차장,,
해우주차장,,
우동주차장,,
대성주차장,,
해운대구청주차장,,
반여동주차장,,
신라주차장,,
신촌주차장,,
반송주차장,,
영광주차장,,
해천주차장,,
기장주차장,,
대영주차장,,
부일주차장,,
성심주차장,,
송민주차장,,
유진주차장,,
주차장,,
누리주차장,,
한라주차장,,
해운대블루주차장,,
대천주차장,,
5994주차장,35.19930983,129.1319426
청도주차장,,
K.T주차장,,
극동주차장,,
리베라세이브존주차장,,
대신주차장,,
흥안인더스트리,,
GS타임즈 해운대 제3,35.1616903,129.1601316
한양주차장,,
GS타임즈 해운대 제2,,
행운주차장,,
해동주차장,,
강남주차장,,
해운대비치주차장,,
대천주차장,,
진영주차장,,
지에스타임즈스테이션센텀필주차장,,
해운대온천센터주차장,,
신리주차장,,
센텀Q주차장,,
코리아주차장,,
KT해운대지점주차장,,
조방주차장,,
동백주차장,,
동백섬주차장,,
하나주차장,,
IS프라자 근린상가주차장,,
장산주차장,,
우리주차장,,
유로주차장,,
반송주차장,,
1박2일주차장,,
스카이문주차장,,
개미주차장,,
선수촌주차장,,
삼성주차장,,
경안주차장,,
동해주차장,,
광장주차장,,
신일주차장,35.1600479,129.1582402
보성주차장,,
현대주차장,35.16227693,129.1593745
기린주차장,35.18596635,129.2027746
하나타워주차장,,
재송주차장,,
글로리아주차장,,
방주주차장,,
주차장,35.16853451,129.197041
S-Park 주차장,,
송정제일주차장,,
해운대해수욕장주차장,,
해운대로주차장,35.16210861,129.1568857
서목주차장,,
송정주차장,35.18158412,129.2011417
향토주차장,,
가야중복도로,35.15130998,129.0241527
가야공원진입로,35.15072727,129.0297645
신부산빌딩 앞(소망빌딩),35.1422231,129.0618871
범천동신암로,35.14867928,129.0533226
경남공고 뒤,35.15371912,129.0634983
주례초등학교,35.14579543,129.0194537
유원오피스텔 뒤,35.15973252,129.0551543
가야공원,35.147089,129.0297506
동부근린공영주차장,35.2485427422,129.216664348
기장제1공영주차장,35.2440325503,129.216915006
기장 1-3구역노상공영주차장,35.243131,129.215203
정관읍상업지역노상공영주차장,35.322927,129.177814
기장시장공영주차장,35.24430564,129.2149936
군청사부설주차장,35.2435223,129.2229656
신천리공영주차장,35.243482,129.223773
일광해수욕장노상공영주차장,35.261539,129.233086
뉴공항주차장,35.18079326,128.9563045
가가주차장,35.17987053,128.9544302
금호주차장,35.21726607,128.9558723
부산주차장,35.17949883,128.954233
광남주차장,35.18177187,128.9541601
대항공영 주차장,35.01021784,128.8262443
녹산산단공영주차장,35.0844054,128.840243
발렛주차장,35.17867362,128.9550364
차차주차장,35.17975562,128.9540415
동원주차장,35.17922889,128.9534256
김해주차장,35.17656233,128.9504326
