,parking_nm,addr,Latitude,Longitude
170,구봉성당복개도로,부산광역시 동구 구봉로 19,35.1221918,129.0378334
171,국일주택뒤,부산광역시 동구 수정공원상로20번길 7 (수정동),35.1284521,129.0389683
172,금복주앞,부산광역시 동구 중앙대로332번길 9 (초량동),35.1255272,129.0467099
173,금성빌딩앞,부산광역시 동구 중앙대로236번길 7-12 (초량동),35.1184538,129.0429607
174,눌원빌딩옆,부산광역시 동구 자성로 134 (범일동),35.1366403,129.0650397
175,독도주차장,부산광역시 동구 증산로 100 (좌천동),35.1360162,129.0509945
176,동구공영주차빌딩,부산광역시 동구 중앙대로 196번길 12-12(초량동),35.1135087,129.0401377
177,동구청 공영,부산광역시 동구 구청로 1 (수정동),35.129335,129.0454233
178,동구체육공원,부산광역시 동구 수정공원중로 22 (수정동),35.1323349,129.0385985
179,명진빌딩1.2,부산광역시 동구 중앙대로332번길 8 (초량동),35.1252474,129.0465483
180,명진빌딩뒤,부산광역시 동구 중앙대로332번길 8 (초량동),35.1252474,129.0465483
181,모정장앞,부산광역시 동구 중앙대로248번길 14 (초량동),35.1183747,129.0431528
182,범일1동공영주차장,부산광역시 동구 증산로 154 (범일동),35.1395355,129.0532921
183,범일4동 제2공영,부산광역시 동구 범내로 34 (범일동),35.1434638,129.0495502
184,범일4동공영,부산광역시 동구 범곡서로 21 (범일동),35.1405218,129.0516116
185,범일5동 시간제주차장,부산광역시 동구 성남이로56번길 4 (범일동),35.1337311,129.0566485
186,범일초등공영,부산광역시 동구 증산서로 55 (범일동),35.1391263999999,129.0500585
187,부산일보별관,부산광역시 동구 중앙대로180번길 12 (초량동),35.1128682,129.0401998
188,성북공영주차장,부산광역시 동구 망양로860번길 3 (좌천동),35.1372417,129.0479604
189,세방텔레콤앞,부산광역시 동구 성남로47번길 28-12 (좌천동),35.1299063,129.0528302
190,수성초등학교지하공영주차장,부산광역시 동구 망양로 807 (수정동),35.1297766,129.0454246
191,수정1동공영,부산광역시 동구 홍곡남로 15 (수정동),35.1248233,129.0389408
192,수정2동공영,부산광역시 동구 수정공원로 41 (수정동),35.1305957,129.0391765
193,수정2동제2공영,부산광역시 동구 수정로 54-1 (수정동),35.13013,129.0419641
194,수정4동공영,부산광역시 동구 망양로694번길 7-1 (수정동),35.127348,129.0416895
195,수정5동공영,부산광역시 동구 수정공원북로 7 (수정동),35.1371117,129.0456884
196,수정변전소,부산광역시 동구 중앙대로296번길 7-3 (초량동),35.1232171,129.0450226
197,수정산(동여중)공영,부산광역시 동구 수정공원로 89 (수정동),35.1329381,129.040467
198,수정초등학교 지하공영주차장,부산광역시 동구 진성로 29 (수정동),35.1315051,129.0463025
199,수정터널밑,부산광역시 동구 성남로 61-2 (좌천동),35.1313015,129.0558523
200,수정터널진입로밑,부산광역시 동구 성남로 69 (좌천동),35.1313466,129.0564761
201,스카이웨이,부산광역시 동구 망양로579번길 7-8,35.1223429,129.033335
202,범일전화국뒤,부산광역시 동구 자성공원로 23 (범일동),35.1377085,129.0624662
203,왕자빌딩앞,부산광역시 동구 중앙대로226번길 13-7 (초량동),35.117256,129.0425275
204,자성대 서문옆,부산광역시 동구 자성로75번길 38 (범일동),35.1363009,129.0602643
205,자유시장 뒤,부산광역시 동구 조방로 48 (범일동),35.1409213,129.0610957
206,수정2동 업무지,부산광역시 동구 중앙대로 360,35.127486,129.0480614
207,좌1-1(주거지),부산광역시 동구 증산로109번길 1,35.1361096,129.0535651
208,좌1-2(주거지),부산광역시 동구 증산로 83,35.1349773,129.0518267
209,좌1-3(주거지),부산광역시 동구 증산동로 39,35.1356594,129.0515359
210,좌1-5(주거지),부산광역시 동구 좌천남로 19,35.1313893,129.0491703
211,좌1-6(주거지),부산광역시 동구 자성로8번길 4-5,35.1325702,129.0539441
212,좌4-1(주거지),부산광역시 동구 망양로870번길 7,35.1379389,129.0482272
213,좌4-2(주거지),부산광역시 동구 증산로25번길 4,35.1342285,129.0481533
214,좌4-3(주거지),부산광역시 동구 성북로 29,35.1365169,129.04963
215,좌4-4(주거지),부산광역시 동구 증산서로19번길 7,35.136278,129.0481818
216,초1-1(주거지),부산광역시 동구 영초길197번길 1,35.1173625,129.0357799
217,초1-2(주거지),부산광역시 동구 초량상로35번길 1-2,35.1150471,129.0361729
218,초1-3(주거지),부산광역시 동구 초량상로 91,35.1197279999999,129.0387061
219,초1-4(주거지),부산광역시 동구 초량상로 91,35.1197279999999,129.0387061
220,초2-1(주거지),부산광역시 동구 영초윗길 33,35.1175533,129.0339152
221,초2-3(주거지),부산광역시 동구 초량남로17번가길 8,35.1191053,129.0353171
222,초2-4(주거지),부산광역시 동구 영초길247번길 26,35.1178513,129.0339551
223,초3-1(주거지),부산광역시 동구 고관로13번길 71,35.1219624,129.0382956
