name,lat,lon,geometry,x_nm,x_dist
성지곡수원지,35.1858587,129.0420056,POINT (129.0420056 35.1858587),유원오피스텔 뒤,3138.0
센텀 APEC나루공원,35.1896763,129.1209212,POINT (129.1209212 35.1896763),신라주차장,186.9
센텀시티 아이스링크,35.1687032,129.1297466,POINT (129.1297466 35.1687032),센텀Q주차장,500.4
소두방공원,35.3279169,129.1817747,POINT (129.1817747 35.3279169),정관읍상업지역노상공영주차장,676.1
소름요,35.2434287,129.2416312,POINT (129.2416312 35.2434287),신천리공영주차장,1628.3
송도 구름산책로(스카이워크),35.0753572,129.0223137,POINT (129.0223137 35.0753572),남항방파제,1610.4
송도반도,35.0699873,129.0195798,POINT (129.0195798 35.0699873),남항방파제,2221.0
송도용궁구름다리,35.0642894,129.0138732,POINT (129.0138732 35.0642894),남항방파제,3040.2
송도해수욕장,35.0754546,129.016761,POINT (129.016761 35.0754546),남항방파제,1996.1
송도해안볼레길,35.06731,129.0176327,POINT (129.0176327 35.06731),남항방파제,2564.4
송상현광장,35.1651436,129.0669205,POINT (129.0669205 35.1651436),유원오피스텔 뒤,1227.9
송정 죽도공원,35.1797209,129.2058301,POINT (129.2058301 35.1797209),송정호안도로,113.8
송정서핑학교,35.1798085,129.2003641,POINT (129.2003641 35.1798085),송정주차장,203.8
송정역,35.1810537,129.2004153,POINT (129.2004153 35.1810537),송정주차장,83.6
송정해수욕장,35.1786125,129.1997133,POINT (129.1997133 35.1786125),송정주차장,348.9
수국꽃문화축제,35.0560546,129.0889113,POINT (129.0889113 35.0560546),태종대유원지부설주차장,871.8
수리조선소길,35.0923594,129.0334742,POINT (129.0334742 35.0923594),토토볼링장앞,174.0
수미르공원,35.1006692,129.0383469,POINT (129.0383469 35.1006692),국제회관 옆 공영주차장,159.6
수산과학관,35.1922021,129.2232732,POINT (129.2232732 35.1922021),기린주차장,1990.5
수영강상설카약체험장,35.166017,129.1235985,POINT (129.1235985 35.166017),센텀Q주차장,1059.6
수영만 요트경기장,35.160915,129.1405557,POINT (129.1405557 35.160915),민락수변공원 공영주차장,1002.7
수영민속예술관,35.1710871,129.1139105,POINT (129.1139105 35.1710871),망미동노외공영주차장,1430.5
수영사적공원,35.1710871,129.1139105,POINT (129.1139105 35.1710871),망미동노외공영주차장,1430.5
스카이라인루지,35.1943634,129.2202453,POINT (129.2202453 35.1943634),기린주차장,1843.4
스파랜드 센텀시티,35.1687032,129.1297466,POINT (129.1297466 35.1687032),센텀Q주차장,500.4
스포원파크,35.2913418,129.1053512,POINT (129.1053512 35.2913418),스포원 주차장(동측),212.3
스포원파크 경륜장,35.2906193,129.1051094,POINT (129.1051094 35.2906193),스포원 주차장(동측),232.7
승학산,35.1317807,128.9853735,POINT (128.9853735 35.1317807),엄궁초등학교지하주차장,1017.3
신선대,35.1094524,129.0978349,POINT (129.0978349 35.1094524),부산성모병원 주차장,1039.6
신세계 센텀시티,35.1788264,129.1248781,POINT (129.1248781 35.1788264),지에스타임즈스테이션센텀필주차장,601.5
신평소공원,35.2940485,129.2602898,POINT (129.2602898 35.2940485),좌천 재래시장,2292.7
신호공원,35.0822862,128.8709202,POINT (128.8709202 35.0822862),녹산산단공영주차장,2813.2
씨라이프 부산아쿠아리움,35.1592713,129.1610038,POINT (129.1610038 35.1592713),흥안인더스트리,110.4
아난티코브 야외공연장,35.2188193,129.2313695,POINT (129.2313695 35.2188193),신천리공영주차장,2797.8
아미르공원,35.0744236,129.069341,POINT (129.069341 35.0744236),영도중학교옆,371.5
아미산 전망대,35.0527681,128.9607646,POINT (128.9607646 35.0527681),자갈치 공영주차장,7675.3
아홉산숲,35.2871145,129.1715058,POINT (129.1715058 35.2871145),정관읍 상업지역 노상주차장,3657.3
안데르센 동화마을,35.3584529,129.2455484,POINT (129.2455484 35.3584529),오리 대룡마을,2154.9
안심치유정원,35.2898417,129.1101998,POINT (129.1101998 35.2898417),스포원 주차장(동측),683.9
안적사,35.2141739,129.1699038,POINT (129.1699038 35.2141739),진영주차장,1661.3
암남공원,35.0625049,129.0152358,POINT (129.0152358 35.0625049),남항방파제,3123.7
약수암,35.17823,128.9965401,POINT (128.9965401 35.17823),덕포백양공원공영주차장,732.7
