b_nm,b_long,b_lat
자유.평화시장,129.0602515,35.1406355
자유.평화시장,129.0605433,35.14091479
덕림아파트,129.0384861,35.12631553
인창병원,129.0423567,35.12206833
초량어린이집,129.0318436,35.11968113
초량어린이집,129.03185,35.11955833
(구)해룡약국,129.0356267,35.11984833
부산서중학교,129.0348,35.12586
수정4동(종점),129.0387633,35.12741667
범5호교,129.0630217,35.14061
범일초등학교입구,129.051478,35.139865
나웅하이빌,129.053638,35.1388205
나웅하이빌,129.053596,35.1390224
문화아파트,129.053811,35.1364916
문화아파트,129.053998,35.1364147
금성고등학교,129.05213,35.1344761
금성고등학교,129.052361,35.1345623
좌이경로당,129.049849,35.1329991
좌이경로당,129.049795,35.132828
하승빌라,129.048035,35.1341937
하승빌라,129.047909,35.1342808
아르미나아파트,129.0357889,35.12552096
수정1동공영주차장,129.0390241,35.12484024
이편한세상부산항.(구)성분도병원,129.0400831,35.1224433
한성기린아파트,129.056577,35.13913567
부산서중학교,129.0378607,35.12547035
범일초등학교입구,129.0514351,35.14003167
한림유치원,129.0399311,35.12393281
부산항국제여객터미널,129.0483051,35.11776084
부산항국제여객터미널입구,129.0475176,35.11762546
범일5동주민센터,129.0551198,35.13124593
수정산가족체육공원입구,129.0404965,35.13175671
걸스카우트회관,129.0393737,35.12291259
부산고교,129.0387625,35.12061588
눌원빌딩,129.0652516,35.13684331
수정성당입구,129.0462176,35.13265149
안창마을입구,129.04819,35.1444
범일역,129.0592891,35.13749004
범일역,129.059507,35.13873445
부산진시장,129.0593234,35.13536722
부산진시장,129.0595492,35.13671062
자성대교차로,129.0588411,35.13418362
좌천역.좌천삼거리,129.0538661,35.13308302
봉생병원,129.0505044,35.13059194
봉생병원,129.0509792,35.13071457
부산진역,129.048828,35.12891709
부산진역,129.0488073,35.12852994
YMCA,129.0450769,35.12520457
YMCA,129.0456132,35.12537575
경남여중입구,129.0437924,35.12295981
경남여중입구,129.0438351,35.12247696
초량역.초량교차로,129.0423633,35.12019929
초량역.초량교차로,129.0422824,35.11959236
부산역,129.0400122,35.11607999
부산역,129.0399718,35.1155625
미광마린타워,129.043095,35.09360833
영도봉래시장,129.0432417,35.09332833
해동병원,129.0441417,35.091975
해동병원,129.044299,35.09121396
영선119안전센터,129.04319,35.09016333
영선119안전센터,129.0433756,35.08958066
영도우체국,129.0420142,35.09148066
영도우체국,129.0415267,35.09154667
영도우체국,129.0410983,35.091685
대교동,129.0386567,35.09262167
영도경찰서,129.0377683,35.09299
영도경찰서,129.0372567,35.093105
영도경찰서,129.037628,35.092899
깡깡이예술마을,129.0374417,35.09129
깡깡이예술마을,129.037445,35.09109833
남항동,129.03854,35.09011667
대교사거리,129.0394619,35.09146252
남항동,129.0383,35.08939
남항동,129.03851,35.08916167
태종대초등학교,129.081115,35.06489667
남항시장,129.04245,35.088785
남항시장,129.0427153,35.08830886
차고지,129.081256,35.06341409
영선아랫교차로,129.04011,35.08623167
영선아랫교차로,129.0402517,35.08623167
영선위교차로,129.0424417,35.085475
영선위교차로,129.042137,35.08477532
영선위교차로,129.0428705,35.08532114
부산보건고,129.04135,35.08302
부산보건고,129.0413367,35.08211
흰여울문화마을,129.0441938,35.07958154
흰여울문화마을,129.0446029,35.07966116
흰여울문화마을,129.0443968,35.08014467
흰여울문화마을,129.044046,35.08016626
신선중학교,129.0448017,35.08152667
신선중학교,129.0448758,35.08234342
신선동주민센터,129.0453847,35.0833694
신선동주민센터,129.045304,35.08387089
남도여중,129.046145,35.08609
남도여중,129.0463633,35.08657833
삼거리이용원,129.0489533,35.09156667
외나무약국,129.046955,35.08824
외나무약국,129.0472433,35.08876667
영도배수지,129.04797,35.09044
영도배수지,129.04819,35.090825
센트럴에일린의뜰,129.04952,35.09223667
센트럴에일린의뜰,129.0500917,35.092735
대교사거리,129.0392207,35.09168765
봉래2동마을건강센터,129.052765,35.09375167
봉래2동마을건강센터,129.05293,35.09382
영월사,129.0544517,35.09401167
영월사,129.05462,35.09400667
청학고개,129.05663,35.09405
교통순찰대.센트럴에일린의뜰,129.0464317,35.09366073
교통순찰대.센트럴에일린의뜰,129.0459758,35.09375477
한성맨션,129.0507646,35.09499374
한성맨션,129.0500233,35.09454833
HJ중공업,129.0536567,35.09603833
봉학초등학교,129.0535611,35.09564417
SK부산저유소,129.0556113,35.09797048
신도브래뉴아파트,129.0554676,35.0972777
청학시장,129.0598767,35.09721
청학동부산은행,129.0615367,35.09644667
청학동부산은행,129.0618283,35.09633
청학성당,129.063065,35.09574333
청학주유소,129.0648033,35.09403333
청학주유소,129.0653717,35.092985
영도구청,129.068255,35.08944833
영도구청,129.0678965,35.0899447
동삼주공,129.07252,35.08613833
동삼주공아파트입구,129.0716567,35.08688833
상리종합사회복지회관,129.0710383,35.08539333
상리종합사회복지회관,129.0706183,35.08504667
동삼3동주민센터,129.0687383,35.08443167
동삼3동주민센터,129.06874,35.08452167
관리사무소,129.0674267,35.08517
나상가,129.06722,35.08631667
동삼삼거리,129.0722925,35.0846578
동삼삼거리,129.0725167,35.08434333
일동미라주아파트,129.0708,35.08184
일동미라주아파트,129.0707767,35.081485
동삼시장,129.0703733,35.079165
동삼시장,129.0703833,35.07856667
동삼국민은행앞교차로,129.072144,35.076183
동삼국민은행앞교차로,129.0726133,35.07578167
삼창파크맨션,129.0725783,35.07539833
에덴금호아파트,129.075435,35.07241333
에덴금호아파트,129.0763431,35.07150439
해양대입구,129.07817,35.071358
해양대입구,129.07872,35.071357
하리,129.0804283,35.06874667
하리,129.0808333,35.06792875
태종대초등학교,129.0810322,35.06531888
롯데캐슬블루오션,129.0728533,35.07310333
KT동삼빌딩,129.0726417,35.07306167
중리초등학교,129.07194,35.07349333
중리초등학교,129.0719833,35.07335667
벽산비치타운,129.07092,35.07509667
벽산비치타운,129.0706667,35.07533333
체육고등학교,129.0663295,35.07158588
쌍용자동차학원,129.0594827,35.08637475
동삼1동행정복지센터,129.0685217,35.07549833
동삼1동행정복지센터,129.0678667,35.07547167
절영아파트,129.06582,35.07624
절영아파트,129.065285,35.07656803
고신대학,129.064515,35.07810167
고신대학,129.0645483,35.07761833
청학고개,129.0571733,35.09414333
청학시장,129.0594166,35.0941846
청학초등학교,129.059755,35.09258167
영도여고,129.0646867,35.07268
영도여고,129.0653533,35.07256
체육고등학교,129.0669133,35.07128667
해동중학교,129.069115,35.07157167
조양아파트,129.0712548,35.07230327
조양아파트,129.069915,35.07132
남고교,129.0672017,35.06973
영도중리,129.06695,35.06957667
남고교,129.0664658,35.06962194
함지그린아파트,129.0614083,35.07015833
함지그린아파트,129.0619667,35.070325
절영복지회관,129.0622808,35.07157993
절영복지회관,129.0623307,35.07180614
반도보라아파트,129.0608467,35.07114
반도보라아파트,129.0609183,35.07106667
75광장,129.05827,35.07080167
75광장,129.0585833,35.07104667
함지골수련원,129.0538767,35.07302333
함지골수련원,129.05361,35.07286833
백련사,129.0485283,35.07584
백련사,129.048235,35.07611667
영선아파트,129.04631,35.07776833
영선아파트,129.0460067,35.07802667
고신대3강의동,129.0637483,35.08042688
홈플러스,129.04468,35.09573
홈플러스,129.0448417,35.09584667
고신대3강의동,129.063889,35.080318
광명고교,129.062705,35.081915
일신마리나아파트,129.06311,35.08664
롯데낙천대,129.0607859,35.08836789
(구)해사고,129.0597033,35.08889167
영광아파트,129.05691,35.09116
시영아파트,129.0526283,35.09210167
롯데낙천대,129.0606515,35.08808229
시영아파트,129.0524796,35.09195909
쌍용자동차학원,129.059402,35.086349
청학시장,129.059275,35.09414333
삼신아파트,129.05434,35.09231
청산학원,129.0579636,35.09000115
영도교회,129.0735132,35.07690816
영도교회,129.0733501,35.07687644
동삼초등학교,129.0740819,35.079372
